STT,Tài khoản,Chức năng,Thời gian,Nền tảng,Hệ điều hành,Ban,Vai trò,IP
1,huyanh,Story,14:07:42 21/09/2026,WEB,Windows,Tech,Trưởng/Phó ban,c118bd00aaba8ef2f46927339630d76c
2,hoangyen,Story,13:54:55 21/09/2026,WEB,MacOS,Ngôi sao,Phóng viên,fc266d1a95cd59670b088be4d9043527
3,nguyenle,Story,13:53:16 21/09/2026,WEB,Windows,Giáo dục,Phóng viên,ba7a0f91739bfcc96c82e5b0b852a921
4,lehuyen,Story,13:52:15 21/09/2026,WEB,MacOS,Video,Trưởng/Phó ban,7a4eb950e42b1d23bd73968f151078f1
5,lehuyen,Story,13:52:06 21/09/2026,APP,iOS,Video,Trưởng/Phó ban,bc2fdc593c8c696ff4774162afc87830
6,nguyenhai,Story,13:50:32 21/09/2026,WEB,Windows,SD,BBT,e692adaa99a483e8207d3f005cecd81b
7,baothanh,Story,13:44:13 21/09/2026,WEB,Windows,Thế giới,Trưởng/Phó ban,cf2f4b7ac83c8b7b51cfd178a35a46ad
8,hoangyen,Story,13:42:07 21/09/2026,WEB,MacOS,Ngôi sao,Phóng viên,fc266d1a95cd59670b088be4d9043527
9,trangnguyen,Story,13:37:38 21/09/2026,WEB,MacOS,Kinh doanh,Phóng viên,72b44462a8c113fc55907babffe70d02
10,nhuquynh,Story,13:37:27 21/09/2026,WEB,MacOS,Ảnh,Phóng viên,e7721ca934203aca090e78b4c4a8ca99
11,hoangthong,Story,13:30:38 21/09/2026,APP,,Thể thao,Phóng viên,0
12,phuongdong,Story,13:19:44 21/09/2026,WEB,MacOS,Kinh doanh,Phóng viên,9633b9d268fe027faa2e82d4b8721e7a
13,lephuong,Story,13:00:08 21/09/2026,WEB,MacOS,Sức khỏe,Phóng viên,dd29b5ff0218e2b571ebee3e697219e8
14,lephuong,Story,12:57:13 21/09/2026,WEB,MacOS,Sức khỏe,Phóng viên,dd29b5ff0218e2b571ebee3e697219e8
15,hoangthong,Story,12:53:12 21/09/2026,APP,,Thể thao,Phóng viên,0
16,phamlinh,Story,12:33:01 21/09/2026,WEB,Windows,Ngôi sao,Phóng viên,043e38d0d04a86e2f6935247463a1c1d
17,phamlinh,Story,12:22:02 21/09/2026,WEB,Windows,Ngôi sao,Phóng viên,043e38d0d04a86e2f6935247463a1c1d
18,hoangyen,Story,12:06:24 21/09/2026,WEB,MacOS,Ngôi sao,Phóng viên,fc266d1a95cd59670b088be4d9043527
19,xuantuyen,Story,12:06:23 21/09/2026,WEB,Windows,Sức khỏe,Trưởng/Phó ban,c2e57e3a5f822281cb7dc4530fdd78ee
20,phamlinh,Story,11:46:52 21/09/2026,WEB,Windows,Ngôi sao,Phóng viên,043e38d0d04a86e2f6935247463a1c1d
21,wms_phongvien,Story,11:24:15 21/09/2026,WEB,MacOS,Test WMS,Phóng viên,1e32f7a71f06bfcf7644e5a7acf41594
22,hangthu,Story,11:23:26 21/09/2026,WEB,MacOS,Spotlight,Trưởng/Phó ban,ecc3f0d08ce1d21e7b5e8fc986267ae6
23,xuantuyen,Story,11:22:20 21/09/2026,WEB,Windows,Sức khỏe,Trưởng/Phó ban,c2e57e3a5f822281cb7dc4530fdd78ee
24,xuantuyen,Story,11:21:31 21/09/2026,WEB,Windows,Sức khỏe,Trưởng/Phó ban,c2e57e3a5f822281cb7dc4530fdd78ee
25,tuanhoang,Story,11:20:17 21/09/2026,WEB,MacOS,English,Phóng viên,d3bc08c3d674817e21acb5ce4bb91acb
26,thanhlan,Story,11:18:29 21/09/2026,WEB,Windows,Kinh doanh,Trưởng/Phó ban,358ba212e09b6d7942f25d9ddca4fce5
27,haphuong,Story,11:17:37 21/09/2026,WEB,Windows,Sức khỏe,Phóng viên,c9254293080b4574e7d185fc8c69f155
28,dodau,Story,11:14:56 21/09/2026,WEB,Windows,Sức khỏe,Phóng viên,11f93dd61d7269097733da9dea8d42be
29,nguyenhai,Story,11:07:57 21/09/2026,WEB,Windows,SD,BBT,e692adaa99a483e8207d3f005cecd81b
30,nguyenhai,Story,11:06:32 21/09/2026,WEB,Windows,SD,BBT,e692adaa99a483e8207d3f005cecd81b
31,xuantuyen,Story,11:01:57 21/09/2026,WEB,Windows,Sức khỏe,Trưởng/Phó ban,c2e57e3a5f822281cb7dc4530fdd78ee
32,dinhgiang,Story,11:00:29 21/09/2026,WEB,Windows,Thế giới,Phóng viên,beec8e8607b9b3172d6625f1afb47bd8
33,trananh,Story,10:54:08 21/09/2026,WEB,Windows,Ngôi sao,Trưởng/Phó ban,114a8f6d42dbc8a748bf9caa53d97d0a
34,hoanganh,Story,10:51:28 21/09/2026,WEB,Windows,Giải trí,Trưởng/Phó ban,b62ed7e7e018b173910475fc60d9d4db
35,kienhuy,Story,10:47:58 21/09/2026,WEB,Windows,SD,BBT,2fa9c0a88f8f62314c566c059b82bd9f
36,tuanhoang,Story,10:45:35 21/09/2026,WEB,MacOS,English,Phóng viên,d3bc08c3d674817e21acb5ce4bb91acb
37,thanhhang,Story,10:41:46 21/09/2026,WEB,Windows,Giáo dục,Phóng viên,afee2f7f3db101ae091b2d3419c9fa0b
38,tuanhoang,Story,10:38:51 21/09/2026,WEB,MacOS,English,Phóng viên,d3bc08c3d674817e21acb5ce4bb91acb
